x,varpi,defect,choi_trace_distance,ratio
0.006556532613252944,1.0,3.967681370110319901372e-14,1.168953321739413426461e-13,0.339421711399594047
0.006899677465278862,1.0,5.12204885013828498231e-14,1.508530684361018799744e-13,0.339538923751350465
0.0072607812593885775,1.0,6.61237577365033392811e-14,1.946750514738326043456e-13,0.339662207539682683
0.007640783900694646,1.0,8.536474821450239645533e-14,2.512265737264559780251e-13,0.339791873718941979
0.008040674485493417,1.0,1.102064952218494386103e-13,3.242051686402380959193e-13,0.339928248781692536
0.008461493875751031,1.0,1.422799775412095409845e-13,4.183823228893417243253e-13,0.340071675491990818
0.008904337408328574,1.0,1.836913691915965748071e-13,5.399153842637184713095e-13,0.340222513648311998
0.009370357745998164,1.0,2.371605764367048838748e-13,6.967500485657182444286e-13,0.340381140876713743
0.009860767877670668,1.0,3.062001938882792093664e-13,8.991397269664228033717e-13,0.340547953454751371
0.010376844275644464,1.0,3.953466829681306665769e-13,1.160315731368260560686e-12,0.340723367166566225
0.010919930218092854,1.0,5.104590265704894036213e-13,1.497352068020932890012e-12,0.340907818189458177
0.011491439285438408,1.0,6.591045744069106395046e-13,1.932281342243330705026e-12,0.341101764012121847
0.012092859039714635,1.0,8.510575603446431909976e-13,2.493534679562216556109e-12,0.341305684384570568
0.012725754896491956,1.0,1.098943229167642926638e-12,3.217799731623460899831e-12,0.341520082299589983
0.013391774199446111,1.0,1.419070151273088222651e-12,4.152418140215873709458e-12,0.341745485005350246
0.014092650508174426,1.0,1.832505771268773652215e-12,5.358479061720770632801e-12,0.341982445048558294
0.014830208110420722,1.0,2.366466360329933215554e-12,6.91481080619860051651e-12,0.342231541347245048
0.015606366770453559,1.0,3.056113396873238578572e-12,8.923131285831332340493e-12,0.342493380291951264
0.016423146725957,1.0,3.946875376340690101147e-12,1.151469362228377917996e-11,0.342768596873694527
0.017282673946440473,1.0,5.097448949140781555892e-12,1.485886086680316787834e-11,0.343057855836662123
0.01818718566685441,1.0,6.583678437337226523319e-12,1.917416970648291665187e-11,0.343361852853072446
0.019139036210815093,1.0,8.503571204451220048447e-12,2.474260547655595424167e-11,0.343681315717073553
0.020140703118595574,1.0,1.098378195875647706327e-11,3.192802036362073253218e-11,0.344017005553891582
0.02119479359583329,1.0,1.418799692349309504046e-11,4.11998970300219604848e-11,0.344369718039694152
0.022304051299739357,1.0,1.832777546909328834846e-11,5.316400863605205186232e-11,0.344740284626782145
0.023471363480473025,1.0,2.367657077478997112838e-11,6.860197611092713835256e-11,0.345129573767754666
0.024699768496269578,1.0,3.058786338773260991697e-11,8.852230383675815768383e-11,0.345538492131191592
0.0259924637218824,1.0,3.95186164573615242722e-11,1.14226223463895237879e-10,0.345967985800148738
0.027352813870923972,1.0,5.105961745317358908184e-11,1.473926411216753641285e-10,0.346419041443344014
0.02878435975376739,1.0,6.597473232606743818247e-11,1.901877286937302834707e-10,0.346892687447307198
0.030290827493804583,1.0,8.525169546961871208804e-11,2.454063061620789815362e-10,0.347389994995948048
0.0318761382260496,1.0,1.101678328411689916114e-10,3.166542338279164389844e-10,0.347912079081939391
0.03354441830333101,1.0,1.423751185696142196513e-10,4.085837052841806987228e-10,0.348460099431984408
0.03530001003663918,1.0,1.840102652299077819766e-10,5.271967781454455590137e-10,0.349035261325406191
0.03714748299758373,1.0,2.378372328343445146994e-10,6.802369238150068773448e-10,0.349638816282524074
0.03909164591238043,1.0,3.07431725845891932201e-10,8.776941088805809622539e-10,0.350272062595923251
0.041137559178325185,1.0,3.974200795969490359301e-10,1.132456311510711206999e-9,0.350936345673932062
0.04329054803533486,1.0,5.137886100811224139669e-10,1.461149906574985844801e-9,0.351633058161342675
0.045556216426837874,1.0,6.642842643244818123162e-10,1.885223641991223760742e-9,0.352363639797582297
0.04794046158609324,1.0,8.589335872284082293257e-10,2.43234677368426375226e-9,0.353129576967097388
0.05044948938590354,1.0,1.110715036662124316885e-9,3.138212355605482825707e-9,0.353932401890573886
0.05308983049167593,1.0,1.436430079383720785733e-9,4.048863019466256218546e-9,0.354773691398697661
0.055868357359875116,1.0,1.857831997433187802597e-9,5.223690533611916014436e-9,0.355655065222363312
0.05879230212611253,1.0,2.403088851898083438643e-9,6.739304201950389389774e-9,0.356578183724458844
0.061869275429432845,1.0,3.108679788482303536678e-9,8.694519586863356265159e-9,0.357544744988468537
0.06510728622179439,1.0,4.021853385901596030175e-9,1.121679176680970948648e-8,0.358556481168010073
0.0685147626143053,1.0,5.203815068478884490345e-9,1.447051107484589896461e-8,0.359615153988906474
0.0721005738144745,1.0,6.733860358134795610646e-9,1.866770006907219306614e-8,0.360722549281320036
0.07587405321157868,1.0,8.714735343510301861692e-9,2.408180616596806139748e-8,0.361880470403660827
0.07984502267023237,1.0,1.127958963006257957105e-8,3.106548497552514897277e-8,0.363090730402218768
0.08402381809539386,1.0,1.460099596246292783147e-8,4.007352785812456825015e-8,0.364355142730532011
0.08842131633535034,1.0,1.890265215320556226027e-8,5.16924202447671207366e-8,0.365675510330145512
0.09304896349270617,1.0,2.447456460708078566332e-8,6.667844628224733686488e-8,0.367053612849358861
0.09791880471706468,1.0,3.169275117992256104133e-8,8.600680800411590189306e-8,0.368491191748517018
0.10304351555694903,1.0,4.104481066240199684942e-8,1.109349390362989519324e-7,0.369989933009038298
0.10843643495256793,1.0,5.316310797194129574446e-8,1.430841095703641268654e-7,0.371551447128357762
0.114111599955302,1.0,6.886784554021248896221e-8,1.845445998390451694962e-7,0.373177246043922008
0.12008378226427956,1.0,8.92229678207858032553e-8,2.380112393303334402872e-7,0.374868716585917737
0.12636852667514364,1.0,1.156087231057550253346e-7,3.069580658752894553313e-7,0.376627090010152706
0.13298219154108587,1.0,1.498158440756262910091e-7,3.958633777934718723525e-7,0.378453407109024277
0.13994199135146299,1.0,1.941677820046705739362e-7,5.104996945232989915886e-7,0.380348478339410324
0.1472660415388205,1.0,2.516793375728582056929e-7,6.583073136252692016736e-7,0.38231283834121673
0.15497340563095316,1.0,3.262625001612531291551e-7,8.488755207944386330168e-7,0.38434669414888212
0.16308414487072978,1.0,4.229934995114691079926e-7,0.000001094562416437982187019,0.38644986632010481
0.17161937043283929,1.0,5.484591963895175162215e-7,0.000001411293206658076339986,0.388621722121274603
0.18060129837336716,1.0,7.112062576484665789996e-7,0.000001819588232188907713533,0.3908610998175712
0.19005330745523322,1.0,9.223234135466252911433e-7,0.000002345886700203962682291,0.393166223017690519
0.2,1.0,0.000001196195909795353115087,0.00000302425097056630286816,0.395534603919251032
0.0001,2.0,1.438701529699040486651e-21,1.57249315367462051897e-21,0.914917515753290124
0.00010523363296222022,2.0,1.856700844928274473852e-21,2.029370719681632243149e-21,0.914914572739846061
