varpi,root1,root2,root3
2.005,0.7409338569804242,1.2684123909737473,nan
2.0100000000000002,0.7371185399923423,1.2664853684582211,nan
2.015,0.7333359924639492,1.2645538641183303,nan
2.02,0.7295857421587674,1.2626181715685871,nan
2.025,0.725867328584091,1.2606785738318733,nan
2.0300000000000002,0.7221803025300371,1.2587353437975595,nan
2.035,0.7185242256333523,1.25678874465471,nan
2.04,0.7148986699643131,1.2548390303020025,nan
2.045,0.7113032176352044,1.2528864457358997,nan
2.05,0.7077374604289806,1.250931227418485,nan
2.055,0.7042009994468156,1.2489736036262304,nan
2.06,0.7006934447733334,1.247013794780967,nan
2.065,0.6972144151584315,1.2450520137641052,nan
2.07,0.6937635377146569,1.2430884662151545,nan
2.075,0.6903404476291956,1.24112335081553,nan
2.08,0.686944787889581,1.2391568595585003,nan
2.085,0.6835762090223214,1.2371891780060944,nan
2.09,0.6802343688436653,1.2352204855337872,nan
2.095,0.6769189322218101,1.2332509555636042,nan
2.1,0.6736295708498936,1.2312807557863743,nan
2.105,0.6703659630291452,1.2293100483737054,nan
2.11,0.667127793461639,1.2273389901802865,nan
2.115,0.6639147530520987,1.2253677329370392,nan
2.12,0.6607265387182678,1.2233964234356434,nan
2.125,0.657562853209372,1.2214252037048772,nan
2.13,0.6544234049322372,1.2194542111792444,nan
2.1350000000000002,0.6513079077846605,1.2174835788602727,nan
2.14,0.6482160809956461,1.215513435470896,nan
2.145,0.6451476489721465,1.213543905603261,nan
2.15,0.6421023411519836,1.2115751098603063,nan
2.1550000000000002,0.6390798918626158,1.2096071649914553,nan
2.16,0.636080040185478,1.2076401840226607,nan
2.165,0.6331025298255908,1.2056742763811623,nan
2.17,0.630147108986201,1.2037095480151658,nan
2.1750000000000003,0.6272135302481876,1.2017461015087147,nan
2.18,0.6243015504540168,1.1997840361919714,nan
2.185,0.6214109305960145,1.1978234482471735,nan
2.19,0.6185414357087623,1.1958644308104085,nan
2.195,0.6156928347654129,1.1939070740694622,nan
2.2,0.6128649005777485,1.1919514653578993,nan
2.205,0.6100574096998064,1.189997689245547,nan
2.21,0.6072701423349085,1.1880458276255608,nan
2.215,0.6045028822459434,1.1860959597982181,nan
2.22,0.6017554166687478,1.184148162551609,nan
2.225,0.5990275362284581,1.1822025102393354,nan
2.23,0.5963190348586959,1.1802590748553607,nan
2.235,0.5936297097234658,1.178317926106153,nan
2.24,0.5909593611416454,1.1763791314802299,nan
2.245,0.588307792513962,1.1744427563151931,nan
2.25,0.585674810252343,1.172508863862405,nan
2.255,0.5830602237115471,1.1705775153493891,nan
2.2600000000000002,0.5804638451229791,1.1686487700400177,nan
2.265,0.5778854895305926,1.1667226852926522,nan
2.27,0.5753249747288038,1.1647993166162485,nan
2.275,0.5727821212023315,1.1628787177245499,nan
2.2800000000000002,0.5702567520678815,1.1609609405884465,nan
2.285,0.567748693017609,1.1590460354865595,nan
2.29,0.5652577722642821,1.1571340510541388,nan
2.295,0.5627838204880886,1.1552250343303185,nan
2.3000000000000003,0.5603266707850084,1.1533190308038275,nan
2.305,0.5578861586167096,1.1514160844571903,nan
2.31,0.5554621217618904,1.149516237809483,nan
2.315,0.5530544002690293,1.1476195319577105,nan
2.32,0.5506628364104806,1.1457260066168464,nan
2.325,0.5482872746378669,1.1438357001586,nan
2.33,0.5459275615387239,1.1419486496489308,nan
2.335,0.5435835457943489,1.1400648908844013,nan
2.34,0.541255078138809,1.1381844584273753,nan
2.345,0.5389420113190728,1.1363073856401142,nan
2.35,0.5366442000562145,1.1344337047178243,nan
2.355,0.5343615010076643,1.1325634467206813,nan
2.36,0.5320937727304619,1.130696641604871,nan
2.365,0.5298408756454788,1.1288333182526733,nan
2.37,0.5276026720025789,1.12697350450166,nan
2.375,0.52537902584668,1.1251172271729877,nan
2.38,0.5231698029846905,1.1232645120988527,nan
2.3850000000000002,0.5209748709532916,1.1214153841491228,nan
2.39,0.5187940989875317,1.1195698672571837,nan
2.395,0.516627357990213,1.1177279844450188,nan
2.4,0.5144745205020378,1.1158897578475588,nan
2.4050000000000002,0.512335460672496,1.114055208736308,nan
2.41,0.5102100542314641,1.1122243575423039,nan
2.415,0.5080981784614957,1.1103972238783821,nan
2.42,0.5059997121707813,1.1085738265608418,nan
2.4250000000000003,0.5039145356667557,1.1067541836304604,nan
2.43,0.5018425307303348,1.1049383123729126,nan
