method,N,lambda_minus_exact,lambda_minus_asymptotic
FE,181,-0.000372928913685910367438481079877,-0.000371466051616015360150332538920
FE,193,-0.000349656045215084682806826432125,-0.000348369716800511814441503572770
FE,206,-0.000327514086488040277353155363991,-0.000326385220109217379549564026915
FE,220,-0.000306604822824571432826758200386,-0.000305615251556812637214591770657
FE,235,-0.000286975011329370912752561446009,-0.000286107895074462894413660381041
FE,251,-0.000268629902771367751207487484758,-0.000267869941603580797558606332847
FE,268,-0.000251544691540830889884443713521,-0.000250878191576487985773172349047
FE,287,-0.000234850614075338492309863878138,-0.000234269530810100279397944911305
FE,306,-0.000220234476727614242228621462560,-0.000219723383472218235905915652106
FE,327,-0.000206060204458156033311774555950,-0.000205612707469415229930306390044
FE,349,-0.000193044257550987751440375180088,-0.000192651447972775874461920313881
FE,373,-0.000180599491053075032402133334429,-0.000180255644349862681467051446500
FE,398,-0.000169235028184757213207167151989,-0.000168933053624368794440226606896
FE,425,-0.000158465634294500573343362148963,-0.000158200836099997129852259269517
FE,454,-0.000148327524192684311511259064012,-0.000148095496349116255918965175208
FE,485,-0.000138832895126824307012830679198,-0.000138629598644327381829299359886
FE,518,-0.000129976187486428085864501886474,-0.000129797983286677181828591099507
FE,554,-0.000121519241585014869490521809043,-0.000121363457296929206114097815062
FE,591,-0.000113902285837321284756943825012,-0.000113765406670894721128951251344
FE,632,-0.000106504743250245435553254466757,-0.000106385055921675285106345236621
FE,674,-0.0000998609491322897543460718360752,-0.0000997557200927281605151486491759
FE,720,-0.0000934746451085348786321695554103,-0.0000933824379756927502600141521452
FE,769,-0.0000875130178959744628119861568307,-0.0000874321916027292330132772295768
FE,822,-0.0000818655719081965083811560360149,-0.0000817948361830885403737350237768
FE,878,-0.0000766398506865169578436475710398,-0.0000765778534652605696893054550621
FE,937,-0.0000718104152502637270605097798543,-0.0000717559822225173747995839803037
FE,1001,-0.0000672158801823519678312620794607,-0.0000671681871553434367504597298147
FE,1069,-0.0000629373783430692645638476944869,-0.0000628955615926087747307859584140
FE,1142,-0.0000589117323866753036815443507325,-0.0000588750922438693346648075214926
FE,1219,-0.0000551883133246327289070150503439,-0.0000551561569667750452725268166895
FE,1302,-0.0000516682441634255431436592563110,-0.0000516400578667425347059986094812
FE,1391,-0.0000483606791985226523116112200050,-0.0000483359851491723797176205532312
FE,1485,-0.0000452979996888289508029397648985,-0.0000452763335639722425503098919492
FE,1586,-0.0000424120301397962962865746208067,-0.0000423930361554216772933229442273
FE,1694,-0.0000397069412759511411975598560942,-0.0000396902924099756671707262039814
FE,1809,-0.0000371817385258623399978100552216,-0.0000371671394928130349293588665255
FE,1932,-0.0000348137076017359772308170976853,-0.0000348009085623699690409990629113
FE,2063,-0.0000326022842474213742966514113143,-0.0000325910593031986331493990254700
FE,2204,-0.0000305158940637594150615751520995,-0.0000305060595927852904660663291944
FE,2354,-0.0000285707939579267199191538500827,-0.0000285621730426927698331394178184
FE,2513,-0.0000267625804446831446728887984784,-0.0000267550160535212018253920372243
FE,2684,-0.0000250570615773985240114765524582,-0.0000250504304554764456733271943161
FE,2867,-0.0000234572783350377618899207625556,-0.0000234514668093822044601360968066
FE,3062,-0.0000219630815450227596520425191954,-0.0000219579867219133834706760906416
FE,3270,-0.0000205657379768865237524905929705,-0.0000205612707469415229930306390044
FE,3492,-0.0000192580281615285836082444529811,-0.0000192541109228232474762915777619
FE,3729,-0.0000180338334171005832898325418929,-0.0000180303983219358488032207534311
FE,3983,-0.0000168835922195431588155722425960,-0.0000168805813061759428037183503752
FE,4253,-0.0000158115650977966554473311801435,-0.0000158089243692684646572325863025
FE,4543,-0.0000148020843794070876538285768091,-0.0000147997700511773674195928218236
FE,4851,-0.0000138621318684913765106413819848,-0.0000138601021114200742500948648824
FE,5181,-0.0000129790724689897687199998492935,-0.0000129772930597372669730187588389
FE,5533,-0.0000121532600561389429918456835298,-0.0000121516998630939418375583209009
FE,5909,-0.0000113798339021956973220686076970,-0.0000113784659574376003024556083169
FE,6311,-0.0000106548761831075517190584652183,-0.0000106536769675960672139455220321
FE,6740,-0.00000997662341672838779576340222424,-0.00000997557200927281605151486491759
FE,7198,-0.00000934176033410267352041390633520,-0.00000934083847492342042056268262636
FE,7687,-0.00000874743966927015596227852031602,-0.00000874663137017025890298038110375
FE,8209,-0.00000819115283292004079763255264571,-0.00000819044406657312464212573876776
FE,8767,-0.00000766976197780733902829452876500,-0.00000766914056604297709446905321599
FE,9363,-0.00000718150768450692060375375100909,-0.00000718096286900553029875148879040
FE,10000,-0.00000672401314890703556797551147696,-0.00000672353553424987801872101895445
SSP3,4,-0.000189791721357016940607636236563,-0.000153205562303870918395335718363
SSP3,5,-0.0000931038016351819405706799104609,-0.0000784412478995819102184118878020
SSP3,6,-0.0000523635873206505472932598400130,-0.0000453942406826284202652846572928
SSP3,7,-0.0000323096769998983253616528580665,-0.0000285864606048039031408206588200
SSP3,8,-0.0000213163517613382630315321552031,-0.0000191506952879838647994169647954
SSP3,9,-0.0000147940476809363959402490567918,-0.0000134501453874454578563806391979
SSP3,10,-0.0000106826611498193876827335828707,-0.00000980515598744773877730148597525
SSP3,11,-0.00000796375481042479197858703035173,-0.00000736675881851821095214236361777
SSP3,12,-0.00000609442085738843488247823782781,-0.00000567428008532855253316058216160
SSP3,13,-0.00000476716381534268009937122134931,-0.00000446297496014917559276353480894
SSP3,14,-0.00000379892551600849412726828316659,-0.00000357330757560048789260258235249
SSP3,15,-0.00000307608632043778297251546379734,-0.00000290523140368821889697821806674
SSP3,16,-0.00000252558100490164487455035250857,-0.00000239383691099798309992712059943
SSP3,18,-0.00000176326914947353136569917791928,-0.00000168126817343068223204757989973
SSP3,19,-0.00000149550142477917869272904638269,-0.00000142953141674409371297586907352
SSP3,20,-0.00000127931649252368683600113320475,-0.00000122564449843096734716268574691
SSP3,22,-0.000000957431717096097252339658148152,-0.000000920844852314776369017795452221
SSP3,23,-0.000000836482058917145033290246484386,-0.000000805881152909323479682870549457
